id,trade_id,timestamp,hour_utc,slug,source,asset,signal_source,side,score,confidence,entry_price,position_size,shares,time_remaining,momentum_5m,momentum_1m,momentum_15m,vs_ref,volume_ratio,rsi_14,cex_poly_lag,price_acceleration,vol_adjusted_momentum,poly_yes_price,market_outcome,trade_outcome,pnl,resolved,resolve_ts
1,0x7bff0a8e9e8b368780abae1f3a5e11793926d23bce8a6314070bfbe82a454694,2026-03-07T08:55:27.638167+00:00,8,btc-updown-5m-1772873700,sdk:pknwitq,BTC,binance,no,0.2935,0.4131,0.505,3.06,6.1,273,-0.0654,-0.0654,-0.0856,-0.1096,0.633,33.01,-0.0654,-0.0311,-216.8417,0.5,down,win,3.04,1,2026-03-07T09:14:17.993173+00:00
2,0x8620e356bc48172e6e90c59883538e59712fc3afbd1fc5074a5693022bb2f144,2026-03-07T08:56:41.713253+00:00,8,btc-updown-5m-1772873700,sdk:pknwitq,BTC,binance,no,0.2272,0.5455,0.495,3.0,6.1,199,-0.1582,-0.0456,-0.1783,-0.2023,3.705,25.65,-0.1476,-0.1239,-235.1086,0.51,down,win,3.1,1,2026-03-07T09:14:18.025019+00:00
3,0x686bb043b9fb3dddc8a6cb6f2070e4e0ba7abc8397387182cdb6802f243f63bc,2026-03-07T08:58:52.762163+00:00,8,btc-updown-5m-1772874000,sdk:pknwitq,BTC,binance,no,0.3297,0.3406,0.505,3.06,6.1,369,-0.1898,-0.0185,-0.2099,-0.0185,0.925,27.04,-0.1898,-0.1555,-234.5906,0.5,down,win,3.04,1,2026-03-07T09:24:40.546096+00:00
4,0x7906841471b2c3f547b1c8a205ea3d361c85c2ee5a810de434f5a243b81e66f7,2026-03-07T09:08:36.955420+00:00,9,btc-updown-5m-1772874600,sdk:pknwitq,BTC,binance,yes,0.6682,0.3364,0.495,3.0,6.1,384,0.0664,0.0488,0.0555,0.0488,0.941,42.79,0.062,0.0773,89.7987,0.51,up,win,3.1,1,2026-03-07T09:34:50.021310+00:00
5,0x817b4fd4b348a7809c45a000fc82f58276a0da735189c63c75892c01bcc3f9b0,2026-03-07T09:09:05.921102+00:00,9,btc-updown-5m-1772874600,sdk:pknwitq,BTC,binance,yes,0.6685,0.3369,0.495,3.0,6.1,355,0.0664,0.0488,0.0555,0.0488,1.295,42.79,0.0664,0.0773,89.784,0.5,up,win,3.1,1,2026-03-07T09:34:50.192065+00:00
6,0xc53abf36d8b97298e8c0a7d02907aa368c5bc15f79f01ab18c809f648a347516,2026-03-07T09:31:46.518659+00:00,9,btc-updown-5m-1772875800,sdk:pknwitq,BTC,binance,yes,0.6754,0.3508,0.505,3.06,6.1,195,0.0495,0.0609,0.0513,0.0663,0.73,41.01,0.0462,0.0402,57.722,0.51,up,win,3.04,1,2026-03-07T09:45:12.611112+00:00
7,0xc8ef0f0c03d0dbc521df4b5d907d924a0ccf8ea928e4d00862a6607ce24ff0fb,2026-03-07T09:32:15.046348+00:00,9,btc-updown-5m-1772875800,sdk:pknwitq,BTC,binance,yes,0.6514,0.3027,0.505,3.06,6.1,166,0.0392,0.0,0.0392,0.056,0.025,50.47,0.0366,0.0298,45.7098,0.51,up,win,3.04,1,2026-03-07T09:45:13.402232+00:00
8,0x0c7a2bd4fff6cb159817b1d3904cfc4cd7cd0983190ea4be0e695fa2d5bc3a4b,2026-03-07T09:33:49.969828+00:00,9,btc-updown-5m-1772876100,sdk:pknwitq,BTC,binance,yes,0.6512,0.3025,0.505,3.06,6.1,371,0.0654,0.0262,0.0654,0.0368,0.904,68.4,0.061,0.056,75.7326,0.51,up,win,3.04,1,2026-03-07T09:55:44.167200+00:00
9,0x8fcdc5527e84556def041bf7daa02184dcb98557c5c520d5cd782857ed2b9d1d,2026-03-07T09:39:00.963532+00:00,9,btc-updown-5m-1772876400,sdk:pknwitq,BTC,binance,yes,0.6618,0.3237,0.495,3.0,6.1,361,0.0705,0.0389,0.1052,0.0488,1.152,76.38,0.0705,0.0358,180.8254,0.5,down,loss,-3.0,1,2026-03-07T09:55:44.198721+00:00
10,0x4f2fcbc528b4dade6a8f258eca82f5a4a9e555331c990c50c0d12394ca423829,2026-03-07T09:47:06.642713+00:00,9,btc-updown-5m-1772876700,sdk:pknwitq,BTC,binance,yes,0.66,0.3199,0.495,3.0,6.1,174,0.0501,0.0498,0.0501,0.0363,1.612,54.49,0.0501,0.1045,122.1791,0.5,up,win,3.1,1,2026-03-07T10:06:00.592842+00:00
